2025-11-16 18:19:37,347 INFO    MainThread:82672 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_setup.py:_flush():77] Configure stats pid to 82672
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_setup.py:_flush():77] Loading settings from /users/msayfiddinov/.config/wandb/settings
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_setup.py:_flush():77] Loading settings from /users/msayfiddinov/antibiogo/xyr/wandb/settings
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_setup.py:_flush():77] Loading settings from environment variables: {'api_key': '***REDACTED***', '_require_core': 'true'}
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'xyr/main.py', 'program_abspath': '/users/msayfiddinov/antibiogo/xyr/main.py', 'program': '/users/msayfiddinov/antibiogo/xyr/main.py'}
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_setup.py:_flush():77] Applying login settings: {}
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_init.py:_log_setup():524] Logging user logs to /users/msayfiddinov/antibiogo/xyr/wandb/run-20251116_181937-uuq27pad/logs/debug.log
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_init.py:_log_setup():525] Logging internal logs to /users/msayfiddinov/antibiogo/xyr/wandb/run-20251116_181937-uuq27pad/logs/debug-internal.log
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_init.py:init():607] calling init triggers
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {'epoch': 100}
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_init.py:init():657] starting backend
2025-11-16 18:19:37,348 INFO    MainThread:82672 [wandb_init.py:init():661] setting up manager
2025-11-16 18:19:37,350 INFO    MainThread:82672 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-11-16 18:19:37,362 INFO    MainThread:82672 [wandb_init.py:init():669] backend started and connected
2025-11-16 18:19:37,365 INFO    MainThread:82672 [wandb_init.py:init():767] updated telemetry
2025-11-16 18:19:37,384 INFO    MainThread:82672 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2025-11-16 18:19:38,089 INFO    MainThread:82672 [wandb_init.py:init():851] starting run threads in backend
2025-11-16 18:19:38,337 INFO    MainThread:82672 [wandb_run.py:_console_start():2463] atexit reg
2025-11-16 18:19:38,337 INFO    MainThread:82672 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2025-11-16 18:19:38,337 INFO    MainThread:82672 [wandb_run.py:_redirect():2374] Wrapping output streams.
2025-11-16 18:19:38,337 INFO    MainThread:82672 [wandb_run.py:_redirect():2399] Redirects installed.
2025-11-16 18:19:38,341 INFO    MainThread:82672 [wandb_init.py:init():894] run started, returning control to user process
